name,location,rate,online_order,approx_cost(for two people)
Vietnamese Kitchen,Banashankari,3.6/5,Yes,700
Smacznego,Banashankari,4.2/5,Yes,550
C Corner,Kumaraswamy Layout,3.2/5,Yes,200
Paratha Merchant,Kumaraswamy Layout,3.1/5,Yes,300
North Rasoe,Kumaraswamy Layout,3.1/5,Yes,500
Inchara Restaurant,Basavanagudi,,Yes,300
Toscano,Jayanagar,4.3/5,Yes,"1,300"
Lord Of The Kitchen,Kumaraswamy Layout,3.9/5,Yes,350
Stoned Monkey,Banashankari,4.3/5,Yes,500
Central Jail Restaurant,Jayanagar,3.8/5,Yes,700
Bella,Jayanagar,3.9/5,Yes,"1,000"
Vennela Andhra Meals,Jayanagar,3.0/5,Yes,400
New Prashanth Hotel,Jayanagar,3.6/5,Yes,750
The Grillo,Jayanagar,2.8/5,Yes,500
Re Malnad Nati Style Hotel,JP Nagar,3.6/5,Yes,400
Karma Kaapi,Jayanagar,4.4/5,Yes,250
Tiwari's,Jayanagar,3.8/5,Yes,200
Pizza Stop,Basavanagudi,3.8/5,Yes,600
Biggies Burger 'n' More,Kumaraswamy Layout,3.6/5,Yes,650
Srinathji's Cafe,Basavanagudi,3.8/5,No,550
Kollapuri's,Basavanagudi,3.9/5,No,450
Sugar Stars Co,Basavanagudi,,No,300
Bombay Kulfis,JP Nagar,,No,200
Kadamba Classic,Mysore Road,3.6/5,No,300
RS Shiv Sagar,Basavanagudi,3.7/5,No,450
Kholi Mane,Basavanagudi,3.6/5,No,450
Harshi Super Sandwich,Basavanagudi,3.8/5,No,150
Cake Yard,Basavanagudi,3.4/5,No,250
Rosewood International Hotel - Bar & Restaurant,Mysore Road,3.6/5,No,800
Sri Udupi Veg,Jayanagar,3.3/5,No,250
Cake Art,Basavanagudi,3.5/5,No,400
Aahar Cafe,Basavanagudi,,No,100
Akash Gowdru Biryani Center,Uttarahalli,,No,300
New Sri Udupi Restaurant,Jayanagar,,No,200
Potato House,Uttarahalli,3.4/5,Yes,200
Hotel Biriyani Counter,Vijay Nagar,,No,350
Matru Sagar,Mysore Road,3.7/5,Yes,300
Ugadi,Jayanagar,2.9/5,Yes,700
Sri Krishna Sweets,Basavanagudi,3.7/5,Yes,250
In Time Cane Juice,Kumaraswamy Layout,3.5/5,Yes,100
Subway,Banashankari,3.7/5,Yes,600
Daal Roti,Kumaraswamy Layout,2.9/5,Yes,250
The Lassi Park,Jayanagar,4.1/5,Yes,200
Cafe Coffee Day,Jayanagar,3.2/5,Yes,900
A2B - Adyar Ananda Bhavan,Mysore Road,3.8/5,Yes,400
Srikrishna Bhavan,Banashankari,3.8/5,Yes,300
Timepass Dinner,Basavanagudi,3.8/5,Yes,600
Green Gardenia,Banashankari,3.8/5,Yes,700
J Spice,Banashankari,3.8/5,Yes,750
Karavali Family Restaurant,Jayanagar,3.5/5,Yes,500
Karavali Lunch Home,Kumaraswamy Layout,3.7/5,Yes,350
Hatti Kaapi,Jayanagar,4.0/5,Yes,200
Kolkata Kathi Roll's,Banashankari,3.6/5,Yes,250
Upahara Darshini,Basavanagudi,3.9/5,Yes,600
The Chaat Shop,Basavanagudi,2.5/5,Yes,200
Anda Ka Funda,Jayanagar,3.4/5,Yes,250
Shri Vinayaka Ice N Juice,Basavanagudi,3.2/5,Yes,150
My Tea House,Banashankari,3.6/5,Yes,600
Ibaco,Jayanagar,3.9/5,Yes,300
Jalaram Sweets,Jayanagar,3.8/5,Yes,250
Samskruti - Sanman Gardenia,Jayanagar,4.1/5,Yes,550
Bendakaluru Bytes,Vijay Nagar,3.2/5,Yes,300
Cocoa Bakes,Banashankari,3.6/5,Yes,350
Chumma Delicious,Banashankari,3.7/5,Yes,200
New Prashanth Hotel,Banashankari,3.9/5,Yes,650
SSV Upahar,Jayanagar,NEW,Yes,300
Dwaraka Grand,Kumaraswamy Layout,3.9/5,Yes,500
Gufha - The President Hotel,Jayanagar,4.1/5,Yes,"1,200"
Cafe Vivacity,Banashankari,3.8/5,Yes,650
Tanna's Kitchen,Kumaraswamy Layout,3.1/5,Yes,250
Shree Mandarathi Grand,Uttarahalli,3.7/5,Yes,400
Mojo Pizza - 2X Toppings,Banashankari,4.2/5,Yes,600
Iceberg Icecreams,Basavanagudi,4.0/5,Yes,250
South Kitchen,Basavanagudi,4.3/5,Yes,100
Chung Wah,Jayanagar,3.7/5,Yes,850
Shanthi Sagar,Uttarahalli,3.1/5,Yes,400
Millet Mama,Basavanagudi,3.9/5,Yes,200
Bangarpet Chat Express,Basavanagudi,3.3/5,Yes,100
South Cool Point,Basavanagudi,,Yes,100
Prems Graama Bhojanam,Jayanagar,4.3/5,Yes,400
Java City,Jayanagar,2.6/5,Yes,450
Kamat Bugle Rock,Basavanagudi,3.9/5,Yes,300
Woodee Pizza,Banashankari,3.7/5,Yes,500
Puliyogare Point,Basavanagudi,4.2/5,Yes,100
Bangalore Agarwal Bhavan,Jayanagar,3.9/5,Yes,400
Rustic Stove,Jayanagar,3.8/5,Yes,900
Udupi Ruchi Grand,Banashankari,4.2/5,Yes,200
De Thaali,Jayanagar,3.9/5,Yes,550
Spice Elephant,Banashankari,4.1/5,Yes,800
Just Thindi,Basavanagudi,3.6/5,Yes,200
Matru Sagar,Banashankari,3.6/5,Yes,250
Vasanth Vihar - Since 1965,Banashankari,3.6/5,Yes,150
Sea Spice by 7 Star,Banashankari,4.0/5,Yes,"1,200"
Desi Dawat,Kumaraswamy Layout,3.7/5,Yes,400
Cafe Aira,Basavanagudi,4.1/5,Yes,500
Donne Biriyani combos,Kumaraswamy Layout,,Yes,400
Penthouse Cafe,Banashankari,4.0/5,Yes,700
Mast Punjabi,Kumaraswamy Layout,2.6/5,Yes,400
South Grand,Uttarahalli,3.4/5,Yes,400
Catch-up-ino,Banashankari,3.9/5,Yes,800
The Pizzeria,Banashankari,2.8/5,Yes,800
Cafe Zone,Kumaraswamy Layout,3.9/5,Yes,300
Ruchis Point,Banashankari,3.8/5,Yes,200
Firangi Bake,Rajarajeshwari Nagar,4.0/5,Yes,600
The Royal Corner - Pai Viceroy,Jayanagar,4.2/5,Yes,900
Hara Fine Dine,Banashankari,4.0/5,Yes,800
Chocoberry,Jayanagar,3.5/5,Yes,400
Dakshin Grand,Banashankari,3.0/5,Yes,300
Sandwichwallas,Jayanagar,3.7/5,Yes,200
Chai Mane,Basavanagudi,3.6/5,Yes,150
SLV Upachar,Kumaraswamy Layout,3.1/5,Yes,250
Waffle-A-Go Go,Banashankari,3.9/5,Yes,400
Cross Road Cafe,Jayanagar,3.9/5,Yes,300
Anand Donne Biriyani,Jayanagar,3.6/5,Yes,200
Seven Star,Banashankari,3.4/5,Yes,250
Stop 'N' Joy,Banashankari,3.8/5,Yes,150
Sri Yaksha Shiv Sagar,Banashankari,3.6/5,Yes,600
Fudge,Basavanagudi,3.8/5,Yes,200
Just Bunny,Jayanagar,3.5/5,Yes,200
Bakers Town,Kumaraswamy Layout,3.8/5,Yes,650
Shree Mahalakshmi Sweets,Banashankari,3.2/5,Yes,100
Kaapi Kendra,Jayanagar,3.7/5,Yes,100
Ivy,Kumaraswamy Layout,3.8/5,Yes,600
The Airos,Jayanagar,4.1/5,Yes,650
Chai Kraft,Jayanagar,4.1/5,Yes,100
Kirthi's Biryani,Banashankari,3.8/5,Yes,700
South Point Pub,Basavanagudi,3.4/5,Yes,800
The Trundle,Jayanagar,3.7/5,Yes,700
The Krishna Grand Xpress,Jayanagar,4.0/5,Yes,350
Sri Krishna Darshini,Basavanagudi,3.1/5,Yes,200
Shringar Sweets & Snacks,Basavanagudi,3.5/5,Yes,200
Udupi Grand,Basavanagudi,3.8/5,Yes,300
Ganesh Grand,Basavanagudi,3.7/5,Yes,300
Shreyas Upahar & Burger Point,Basavanagudi,3.0/5,Yes,200
Coffee Tindi,Banashankari,3.8/5,Yes,200
Little Cafe,Basavanagudi,3.7/5,Yes,600
Mumbai Badam Milk & Lassi Center,Basavanagudi,3.6/5,Yes,100
Sri Krishna Sagar,Banashankari,3.2/5,Yes,400
Mylari Biryani Family Restaurant,Banashankari,3.7/5,Yes,400
1980s Games Cafe,Basavanagudi,3.4/5,Yes,400
Kadala Tarangaa,Banashankari,3.6/5,Yes,600
Namma Biryani,Banashankari,3.6/5,Yes,250
Nandhanu's Rasoi,Kumaraswamy Layout,3.0/5,Yes,400
Hotel Pork Paradise,Mysore Road,3.7/5,Yes,300
As On Fire,South Bangalore,3.5/5,Yes,400
J K Fish Land,Jayanagar,3.6/5,Yes,300
Curry Leaves,Basavanagudi,4.1/5,Yes,800
Lassi Shop,Banashankari,3.5/5,Yes,300
Magic Meals,Jayanagar,3.7/5,Yes,400
Desi Cream Junction,Jayanagar,3.7/5,Yes,650
Drunken Monkey,Kumaraswamy Layout,3.8/5,Yes,400
Ruchi's Corner,Banashankari,2.7/5,Yes,200
Tandoori Bytes,Kumaraswamy Layout,3.6/5,Yes,700
Bangalore Donne Biriyani,Kumaraswamy Layout,3.2/5,Yes,300
SGS Non Veg - Gundu Pulav,Banashankari,3.8/5,Yes,400
Keventers,Banashankari,3.7/5,Yes,400
Sree Sagar,Banashankari,,Yes,200
Navi Food Point,Basavanagudi,3.6/5,Yes,200
Shawarma Inc,Banashankari,3.1/5,Yes,250
The Cafe Nuts and Bolts,Kumaraswamy Layout,3.0/5,Yes,500
AM WOW,Jayanagar,3.4/5,Yes,100
Lalbagh Grand,Basavanagudi,3.0/5,Yes,250
Funjabi Curries,Banashankari,2.9/5,Yes,500
Eat Repeat,Basavanagudi,3.9/5,Yes,150
Salut,Jayanagar,4.1/5,Yes,"1,200"
Nammura Donne Biriyani,Basavanagudi,3.5/5,Yes,400
Lassi Stop,Banashankari,3.4/5,Yes,150
Dakshin Kitchen,Basavanagudi,3.6/5,Yes,100
Sri Sai Cafe,Basavanagudi,3.5/5,Yes,200
Sri Sai 99 Variety Dosa,Banashankari,3.8/5,Yes,300
